Questions,Answers,Patterns,Tags,Source
Which modalities are used to screen for breast cancer?,"A number of screening modalities exist for breast cancer, including clinical breast examination, mammography, ultrasonography, and MRI.",breast cancer screeing modalties. modalty to screen breast cancer,screeing modalties,https://www.medscape.com/answers/1947145-155298/which-modalities-are-used-to-screen-for-breast-cancer
What is the role of mammography in the workup of breast cancer?,"A survival benefit of early detection with mammography screening has been demonstrated. A review that used seven statistical models determined that the use of screening mammography reduced the rate of death from breast cancer by 28–65% (median, 46%). A meta-analysis found that screening mammography reduces breast cancer mortality by about 20–35% in women 50–69 years old and slightly less in women 40–49 years old at 14 years of follow-up.",mammography role in breast cancer workup,mammography role,https://www.medscape.com/answers/1947145-155299/what-is-the-role-of-mammography-in-the-workup-of-breast-cancer
Which factors affect a women's decision to undergo a breast cancer screening mammogram?,"Although mammography guidelines have been in place for more than 30 years, 20-30% of women still do not undergo screening as indicated. The 2 most significant factors governing a woman’s decision to undergo mammography are physician recommendation and access to health insurance. Nonwhite women and those of lower socioeconomic status remain less likely to obtain mammography services and more likely to present with life-threatening, advanced stage disease.",factors to undergo breast cancer screening mammogram,screening mammogram,https://www.medscape.com/answers/1947145-155300/which-factors-affect-a-women39s-decision-to-undergo-a-breast-cancer-screening-mammogram
What are the ACS guidelines for breast cancer screening?,"The 2015 ACS recommendations for women at average risk of breast cancer are as follows:

Women should have the opportunity to begin annual screening at 40-44 years of age (qualified recommendation)
Women should begin regular screening mammography at age 45 years (strong recommendation)
Women aged 45-54 years should be screened annually (qualified recommendation)
Women 55 years and older should transition to biennial screening or have the opportunity to continue screening annually (qualified recommendation)
Women should continue screening mammography as long as their overall health is good and they have a life expectancy of 10 years or longer (qualified recommendation)
Clinical breast examination is not recommended for breast cancer screening in average-risk women at any age",ACS guidelines for breast cancer screening,ACS guidelines,https://www.medscape.com/answers/1947145-155301/what-are-the-acs-guidelines-for-breast-cancer-screening
What are the USPSTF guidelines for breast cancer screening?,"Instead of routine screening for women 40-49 years old, the USPSTF recommends that clinicians provide screening to selected patients in this age range, depending on individual circumstances and patient preferences. The USPSTF further concluded that for most individuals without signs or symptoms, there is likely to be only a small benefit from screening.

Finally, the USPSTF recommends against teaching breast self-examination and concludes that the current evidence is insufficient to assess the benefits and harms of clinical breast examination in women aged 40 years or older or the benefits and harms of screening mammography in women aged 75 years or older.",USPSTF guidelines for breast cancer screening,USPSTF guidelines,https://www.medscape.com/answers/1947145-155302/what-are-the-uspstf-guidelines-for-breast-cancer-screening
What are the ACP guidelines for breast cancer screening?,"2019 review by the American College of Physicians (ACP) provides the following guidance statements regarding screening of asymptomatic women at average risk and in good health:

Women 40-49 years of age: Discuss benefits and harms of screening mammography (potential harms outweigh the benefits in most cases).
Women 50-74 years of age: Offer biennial mammography.
Discontinue screening in women ≥75 years of age and in those with a life expectancy of ≤10 years.
Do not use clinical breast examination to screen for breast cancer in women of any age.",ACP guidelines for breast cancer screening,ACP guidelines,https://www.medscape.com/answers/1947145-155303/what-are-the-acp-guidelines-for-breast-cancer-screening
What are the ACR guidelines for breast cancer screening?,"In contrast to the ACP recommendation against the use of tomosynthesis (3D mammography) in breast cancer screening, the American College of Radiology (ACR) states that, “breast tomosynthesis has shown to be an advance over digital mammography, with higher cancer detection rates and fewer patient recalls for additional testing.” The ACR notes that further studies will be needed to determine which subgroups of women are likely to benefit most from tomosynthesis screening.",ACR guidelines for breast cancer screening,ACR guidelines,https://www.medscape.com/answers/1947145-155304/what-are-the-acr-guidelines-for-breast-cancer-screening
What is the efficacy of 3D mammography for breast cancer screening?,"In the Screening with Tomosynthesis Or standard Mammography-2 (STORM-2) study—a prospective population-based screening study in 9672 women that compared integrated 3D mammography with 2D mammography—3D mammography detected more cases of breast cancer than 2D mammography but increased the percentage of false-positive recalls in sequential screen-reading. Thus, the benefit of significantly increased breast cancer detection with tomosynthesis screening must be weighed against the possible risk of overdiagnosis.",3D mammography efficacy,3D mammography efficacy,https://www.medscape.com/answers/1947145-155305/what-is-the-efficacy-of-3d-mammography-for-breast-cancer-screening
How does breast density affect the risk for breast cancer?,"High interval cancer rates were observed for women with a 5-year BCSC risk of 1.67% or greater and extremely dense breasts or a 5-year risk of 2.50% or greater and heterogeneously dense breasts. However, study participants who met those criteria accounted for only 24% of all women with dense breasts.

The highest rate of advanced-stage breast cancer, >0.4 case per 1000 examinations, was seen in women with 5-year BCSC risk of 2.50% or greater and heterogeneously or extremely dense breasts. Such patients comprised 21% of all women with dense breasts.",breast density affect on risk of breast cancer,breast density affect,https://www.medscape.com/answers/1947145-155306/how-does-breast-density-affect-the-risk-for-breast-cancer
What is the role of diagnostic mammography in the evaluation of breast cancer?,"Mammography is used both for screening to detect a cancer and for diagnostic workup of patients after a tumor is detected. Screening mammography is performed in asymptomatic women, whereas diagnostic mammography is performed in symptomatic women (ie, when a breast lump or nipple discharge is present or when an abnormality is found during screening mammography).",role of diagnostic mammography,diagnostic mammography role,https://www.medscape.com/answers/1947145-155307/what-is-the-role-of-diagnostic-mammography-in-the-evaluation-of-breast-cancer
What is the role of ultrasonography in the workup of breast cancer?,"Ultrasonography has become a widely available and useful adjunct to mammography in the clinical setting. It is generally employed to assist the clinical examination of a suspicious lesion detected on mammography or physical examination. As a screening tool, ultrasonography is limited by a number of factors, most notably its failure to detect microcalcifications and its poor specificity (34%).",role of ultrasonography,ultrasonography role,https://www.medscape.com/answers/1947145-155308/what-is-the-role-of-ultrasonography-in-the-workup-of-breast-cancer
What is the role of MRI in the workup of breast cancer?,"In an effort to overcome the limitations of mammography and ultrasonography, MRI has been explored as a modality for detecting breast cancer in women at high risk and in younger women. A combination of T1, T2, and 3-D contrast-enhanced MRI techniques has been found to possess high sensitivity (approximating 86-100% in combination with mammography and clinical breast examination) to malignant changes in the breast.",role of MRI,MRI role,https://www.medscape.com/answers/1947145-155309/what-is-the-role-of-mri-in-the-workup-of-breast-cancer
When is MRI indicated for the diagnosis of breast cancer?,"The principal indications for MRI of the breast are screening for breast cancer in women at increased risk, staging of known cancer, and evaluation of response to neoadjuvant chemotherapy. Breast MRI is based on T1-weighted contrast-enhanced imaging, but multiparametric assessment, including T2-weighted, ultrafast, and diffusion-weighted imaging, may be used to improve the characterization of lesions",MRI indication for breast cancer diagnosis,MRI indication,https://www.medscape.com/answers/1947145-155310/when-is-mri-indicated-for-the-diagnosis-of-breast-cancer
Which radiotracers are used in scintimammography for the diagnosis of breast cancer?,"Using a wide range of labeled metabolites (eg, fluorinated glucose [18 FDG]), positron emission tomography (PET) can detect changes in metabolic activity, vascularization, oxygen consumption, and tumor receptor status.

When PET is combined with computed tomography (CT) to assist in anatomic localization (PET-CT), scans can identify axillary and nonaxillary (eg, internal mammary or supraclavicular) lymph node metastasis for the purposes of staging locally advanced and inflammatory breast cancer before initiation of neoadjuvant therapy and restaging high-risk patients for local or distant recurrences.",radiotracers in scintimammography for breast cancer diagnosis,radiotracers scintimammography,https://www.medscape.com/answers/1947145-155312/which-radiotracers-are-used-in-scintimammography-for-the-diagnosis-of-breast-cancer
What are contraindications for scintimammography in the workup of breast cancer?,"Scintimammography is not indicated as a screening procedure for the detection of breast cancer. However, it may play a role in various specific clinical indications, as in cases of nondiagnostic or difficult mammography and in the evaluation of high-risk patients, tumor response to chemotherapy, and metastatic involvement of axillary lymph nodes.",contraindications for scintimammography in breast cancer workup,contraindications scintimammography,https://www.medscape.com/answers/1947145-155313/what-are-contraindications-for-scintimammography-in-the-workup-of-breast-cancer
What is the role of PET scanning in the workup of breast cancer?,"Using a wide range of labeled metabolites (eg, fluorinated glucose [18 FDG]), positron emission tomography (PET) can detect changes in metabolic activity, vascularization, oxygen consumption, and tumor receptor status.

When PET is combined with computed tomography (CT) to assist in anatomic localization (PET-CT), scans can identify axillary and nonaxillary (eg, internal mammary or supraclavicular) lymph node metastasis for the purposes of staging locally advanced and inflammatory breast cancer before initiation of neoadjuvant therapy and restaging high-risk patients for local or distant recurrences.",role of PET scanning,PET scanning role,https://www.medscape.com/answers/1947145-155314/what-is-the-role-of-pet-scanning-in-the-workup-of-breast-cancer
What is the role of breast biopsy in the diagnosis of breast cancer?,"Percutaneous vacuum-assisted large-gauge core-needle biopsy (VACNB) with image guidance is the recommended diagnostic approach for newly diagnosed breast tumors. Core biopsies can minimize the need for operative intervention (and subsequent scarring, and provide accurate pathologic diagnosis for appropriate management.

Excisional biopsy, as the initial operative approach, has been shown to increase the rate of positive margins. Open excisional biopsy is reserved for lesions where the diagnosis remains equivocal despite imaging and core biopsy assessment or for benign lesions that the patient chooses to have removed. Because wide clearance of the lesion is usually not the goal in diagnostic biopsies, unnecessary distortion of the breast is thereby avoided. Ongoing audit is essential to help reduce an excessive benign-to-malignant biopsy ratio.",breast biospy role in breast cancer diagnosis,breast biospy role,https://www.medscape.com/answers/1947145-155316/what-is-the-role-of-breast-biopsy-in-the-diagnosis-of-breast-cancer
What are the histologic findings of lobular carcinoma in situ breast cancer?,"Breast cancers usually are epithelial tumors of ductal or lobular origin. All of the following features are important in deciding on a course of treatment for any breast tumor:

Size
Status of surgical margin
Presence or absence of estrogen receptor (ER) and progesterone receptor (PR)
Nuclear and histologic grade
Proliferation
Vascular invasion
Tumor necrosis
Quantity of intraductal component
HER2 status",lobular carcinoma in situ breast cancer historical findings,lobular carcinoma,https://www.medscape.com/answers/1947145-155320/what-are-the-histologic-findings-of-lobular-carcinoma-in-situ-breast-cancer
What are the histologic findings of infiltrating ductal carcinoma breast cancer?,Infiltrating ductal carcinoma is the most commonly diagnosed breast tumor (accounting for 75% of breast cancers) and has a tendency to metastasize via lymphatic vessels. This lesion has no specific histologic characteristics other than invasion through the basement membrane. DCIS is a frequently associated finding on pathologic examination.,ductal carcinoma breast cancer historical findings, ductal carcinoma,https://www.medscape.com/answers/1947145-155321/what-are-the-histologic-findings-of-infiltrating-ductal-carcinoma-breast-cancer
What are the histologic findings of medullary carcinoma breast cancer?,"Lobular carcinoma in situ (LCIS) arises from the terminal duct apparatus and shows a rather diffuse distribution throughout the breast, which explains its presentation as a nonpalpable mass in most cases. Over the past 25 years, the incidence of LCIS has doubled, currently standing at 2.8 per 100,000 women. The peak incidence is in women aged 40-50 years.",medullary carcinoma breast cancer historical findings,medullary carcinoma,https://www.medscape.com/answers/1947145-155323/what-are-the-histologic-findings-of-medullary-carcinoma-breast-cancer
Which tumor features affect treatment selection for breast cancer?,"Breast cancers usually are epithelial tumors of ductal or lobular origin. All of the following features are important in deciding on a course of treatment for any breast tumor:

Size
Status of surgical margin
Presence or absence of estrogen receptor (ER) and progesterone receptor (PR)
Nuclear and histologic grade
Proliferation
Vascular invasion
Tumor necrosis
Quantity of intraductal component
HER2 status",tumor features affect on treatment selection,tumor treatment selection,https://www.medscape.com/answers/1947145-155317/which-tumor-features-affect-treatment-selection-for-breast-cancer
What are the histologic grades for breast cancer?,"Histologic grade is the best predictor of disease prognosis in carcinoma in situ, but it is dependent on the grading system used, such as the Van Nuys classification (high-grade, low-grade comedo, low-grade noncomedo). The grading of invasive carcinoma is also important as a prognostic indicator, with higher grades indicating a worse prognosis",histologic grades for breast cancer,historical grades,https://www.medscape.com/answers/1947145-155318/what-are-the-histologic-grades-for-breast-cancer
What are the histologic characteristics of DCIS breast cancer?,"Increased use of screening mammography has resulted in a dramatic increase in the detection of ductal carcinoma in situ (DCIS). Approximately 64,000 cases of DCIS are diagnosed annually in the United States. About 90% of DCIS cases are identified on mammography as suspicious calcifications: linear, clustered, segmental, focal, or mixed distribution.

DCIS is broadly divided into 2 subtypes: comedo (ie, cribriform, micropapillary, and solid; and noncomedo. The likelihood of progression or local recurrence, as well as the prognosis, varies in accordance with the DCIS subtype present.", histologic characteristics of DCIS breast cancer,DCIS breast cancer,https://www.medscape.com/answers/1947145-155319/what-are-the-histologic-characteristics-of-dcis-breast-cancer
What are the histologic findings of infiltrating lobular carcinoma breast cancer?,"Infiltrating lobular carcinoma has a much lower incidence than infiltrating ductal carcinoma, accounting for 15-20% of invasive breast cancers. Histologically, it is characterized by the ""single-file"" arrangement of small tumor cells. Like ductal carcinoma, infiltrating lobular carcinoma typically metastasizes to axillary lymph nodes first. However, it also has a tendency to be multifocal and have discontinuous areas of involvement, making mammographic and even MRI staging imprecise.",histologic findings of infiltrating lobular carcinoma breast cancer,infiltrating lobular,https://www.medscape.com/answers/1947145-155322/what-are-the-histologic-findings-of-infiltrating-lobular-carcinoma-breast-cancer
What are the histologic findings of mucinous carcinoma breast cancer?,"Mucinous (colloid) carcinoma is another rare histologic type, seen in fewer than 5% of invasive breast cancer cases. It usually presents during the seventh decade of life as a palpable mass or appears mammographically as a poorly defined tumor with rare calcifications.

Mucin production is the histologic hallmark. There are 2 main types of lesions, A and B, with AB lesions possessing features of both. Type A mucinous carcinoma represents the classic variety, with larger quantities of extracellular mucin, whereas type B is a distinct variant with endocrine differentiation.",histologic findings of mucinous carcinoma breast cancer,mucinous carcinoma,https://www.medscape.com/answers/1947145-155324/what-are-the-histologic-findings-of-mucinous-carcinoma-breast-cancer
What are the histologic findings of tubular carcinoma breast cancer?,"Tubular carcinoma of the breast is an uncommon histologic type, accounting for only 1-2% of all breast cancers. Characteristic features of this type include a single layer of epithelial cells with low-grade nuclei and apical cytoplasmic snoutings arranged in well-formed tubules and glands.

Tubular components make up more than 90% of pure tubular carcinomas and at least 75% of mixed tubular carcinomas. This type of breast cancer has a low incidence of lymph node involvement and a very high overall survival rate. Because of its favorable prognosis, patients are often treated with only breast-conserving surgery and local radiation therapy.",histologic findings of tubular carcinoma breast cancer,tubular carcinoma,https://www.medscape.com/answers/1947145-155325/what-are-the-histologic-findings-of-tubular-carcinoma-breast-cancer
What are the histologic findings of papillary carcinoma breast cancer?,Papillary carcinoma of the breast encompasses a spectrum of histologic subtypes. There are 2 common types: cystic (noninvasive form) and micropapillary ductal carcinoma (invasive form). This form of breast cancer is usually seen in women older than 60 years and accounts for approximately 1-2% of all breast cancers. Papillary carcinomas are centrally located in the breast and can present as bloody nipple discharge. They are strongly ER- and PR-positive.,histologic findings of papillary carcinoma breast cancer,papillary carcinoma,https://www.medscape.com/answers/1947145-155326/what-are-the-histologic-findings-of-papillary-carcinoma-breast-cancer
What are histologic findings of metaplastic breast cancer?,"Metaplastic breast cancer (MBC) accounts for fewer than 1% of breast cancer cases. It tends to occur in older women (average age of onset in the sixth decade) and has a higher incidence in Black women. It is characterized by a combination of adenocarcinoma plus mesenchymal and epithelial components.

A wide variety of histologic patterns includes the following:

Spindle-cell carcinoma
Carcinosarcoma
Squamous cell carcinoma of ductal origin
Adenosquamous carcinoma
Carcinoma with pseudosarcomatous metaplasia
Matrix-producing carcinoma",histologic findings of metaplastic breast cancer,metaplastic,https://www.medscape.com/answers/1947145-155327/what-are-histologic-findings-of-metaplastic-breast-cancer
What are the histologic findings of mammary Paget disease?,"Mammary Paget disease is relatively rare, accounting for 1-4% of all breast cancers. The peak incidence is seen in the sixth decade of life. This adenocarcinoma is localized within the epidermis of the nipple-areola complex and is composed of the histologic hallmark Paget cells within the basement membrane. Paget cells are large, pale epithelial cells with hyperchromatic, atypical nuclei, dispersed between the keratinocytes singly or as a cluster of cells.",histologic findings of mammary Paget disease,mammary Paget,https://www.medscape.com/answers/1947145-155328/what-are-the-histologic-findings-of-mammary-paget-disease
What is the AJCC staging system for breast cancer?,"The American Joint Committee on Cancer (AJCC) provides two principal groups for breast cancer staging: anatomic, which is based on extent of cancer as defined by tumor size (T), lymph node status (N), and distant metastasis (M); and prognostic, which includes anatomic TNM plus tumor grade and the status of the biomarkers human epidermal growth factor receptor 2 (HER2), estrogen receptor (ER), and progesterone receptor (PR). The prognostic stage group is preferred for patient care and is to be used for reporting of all cancer patients in the United States.",AJCC staging system for breast cancer,AJCC staging system,https://www.medscape.com/answers/1947145-155329/what-is-the-ajcc-staging-system-for-breast-cancer
What are the prognostic stages for breast cancer?,"
Histologic grade (G)

GX

Grade cannot be assessed

G1

Low combined histologic grade (favorable)

G2

Intermediate combined histologic grade (moderately favorable)

G3

High combined histologic grade (unfavorable)",prognostic stages,prognostic stages,https://www.medscape.com/answers/1947145-155333/what-are-the-prognostic-stages-for-breast-cancer
"According to ASCO guidelines, which patients with breast cancer should be offered sentinel lymph node (SLN) biopsy?","Evaluation of lymph node involvement by means of sentinel lymph node biopsy or axillary lymph node dissection (ALND) has also been considered necessary for staging and prognosis.

A 2014 update on sentinel lymph node biopsy for patients with early-stage breast cancer by the American Society of Clinical Oncology (ASCO) advises that sentinel lymph node biopsy may be offered to the following patients:

Women with operable breast cancer and multicentric tumors

Women with DCIS who will be undergoing mastectomy

Women who previously underwent breast and/or axillary surgery

Women who received preoperative/neoadjuvant systemic therapy",sentinel lymph node (SLN) biopsy in breast cancer,sentinel lymph node (SLN),https://www.medscape.com/answers/1947145-155334/according-to-asco-guidelines-which-patients-with-breast-cancer-should-be-offered-sentinel-lymph-node-sln-biopsy
What are the contraindications for sentinel lymph node (SLN) biopsy in breast cancer?,"According to the ASCO guidelines, sentinel lymph node biopsy should not be performed in patients with any of the following:

1) Large or locally advanced invasive breast cancer (tumor size T3/T4)

2) Inflammatory breast cancer

3) DCIS (when breast-conserving surgery is planned)

4) Pregnancy",sentinel lymph node (SLN) biopsy contradictions in breast cancer,sentinel lymph node (SLN),https://www.medscape.com/answers/1947145-155335/what-are-the-contraindications-for-sentinel-lymph-node-sln-biopsy-in-breast-cancer
What are the ASCO guidelines for axillary lymph node dissection (ALND) in breast cancer?,"ASCO recommendations regarding ALND in patients who have undergone sentinel lymph node biopsy are as follows:

1) ALND should not be performed in women with no sentinel lymph node (SLN) metastases

2) In most cases, ALND should not be performed in women with one to two metastatic SLNs who are planning to undergo breast-conserving surgery with whole-breast radiotherapy

3) ALND should be offered to women with SLN metastases who will be undergoing mastectomy",guidelines for axillary lymph node dissection (ALND) in breast cancer. ASCO guidelines for axillary lymph node dissection (ALND) in breast cancer ,axillary lymph node dissection,https://www.medscape.com/answers/1947145-155336/what-are-the-asco-guidelines-for-axillary-lymph-node-dissection-alnd-in-breast-cancer
What are the NCCN guidelines for sentinel lymph node (SLN) biopsy in breast cancer?,"National Comprehensive Cancer Network (NCCN) recommendations differ from those of ASCO in that the NCCN considers that women with clinical stage as high as IIIA T3, N1, M0 may be candidates for SLN biopsy. In addition, the NCCN concluded that there is insufficient evidence to make recommendations for or against SLN biopsy in pregnant patients; the NCCN recommends that decisions regarding use of SLN biopsy in pregnancy be individualized. However, isosulfan blue or methylene blue dye is contraindicated for SLNB in pregnancy; radiolabeled sulfur colloid appears to be safe.",NCCN guidelines for sentinel lymph node (SLN) biopsy in breast cancer. SLN biopsy in breast cancer guidelines from NCCN. ,guidelines sentinel lymph,https://www.medscape.com/answers/1947145-155337/what-are-the-nccn-guidelines-for-sentinel-lymph-node-sln-biopsy-in-breast-cancer
What are the NCCN guidelines for axillary lymph node dissection (ALND) in breast cancer?,"The NCCN breast cancer guidelines state that lymph node dissection is optional in the following cases:

1) Strongly favorable tumors
2) When no result would affect the choice of adjuvant systemic therapy
3) Elderly patients
4) Patients with comorbid conditions",NCCN guidelines for axillary lymph node dissection (ALND)  in breast cancer. ALND in breast cancer guidelines from NCCN.,guidelines axillary lymph node dissection,https://www.medscape.com/answers/1947145-155338/what-are-the-nccn-guidelines-for-axillary-lymph-node-dissection-alnd-in-breast-cancer
What are the NCCN guidelines for evaluation of asymptomatic women with early-stage breast cancer (stages I–IIB)?,"The NCCN guidelines [72] recommend the following laboratory studies for all asymptomatic women with early-stage breast cancer (stages I–IIB):

1) Complete blood count (CBC) with differential
2) Comprehensive metabolic panel, with liver function tests (LFTs) and alkaline phosphatase


Additional studies indicated in specific settings include the following:

1) Bone scan, in patients with localized bone pain or alkaline phosphatase elevation
2) Abdominal ± pelvic diagnostic CT with contrast or MRI with contrast, in patients with elevated alkaline phosphatase, abnormal liver function tests, abdominal symptoms, or abnormal physical examination of the abdomen or pelvis
3) Chest diagnostic CT with contrast, in patients with pulmonary symptoms

For women with clinical stage lllA (T3, N1, M0) disease, tests to consider are as follows:
1) CBC
2) Comprehensive metabolic panel, including LFTs and alkaline phosphatase
3) Chest diagnostic CT with contrast
4) Abdominal ± pelvic diagnostic CT with contrast or MRI with contrast
5) Bone scan or sodium fluoride PET/CT (category 2B)
6) FDG PET/CT (optional)",NCCN guidelines for evaluation of asymptomatic women with early-stage breast cancer (stages I–IIB).  For Evaluation of asymptomatic women with early-stage breast cancer (stages I–IIB) guidelines from NCCN. ,guidelines early-stage,https://www.medscape.com/answers/1947145-155339/what-are-the-nccn-guidelines-for-evaluation-of-asymptomatic-women-with-early-stage-breast-cancer-stages-iiib
"What are the NCCN guidelines for evaluation of women with clinical stage IIIA (T3, N1, M0) breast cancer?","For women with clinical stage lllA (T3, N1, M0) disease, tests to consider are as follows:

1) CBC
2) Comprehensive metabolic panel, including LFTs and alkaline phosphatase
3) Chest diagnostic CT with contrast
4) Abdominal ± pelvic diagnostic CT with contrast or MRI with contrast
5) Bone scan or sodium fluoride PET/CT (category 2B)
6) FDG PET/CT (optional)","NCCN guidelines for evaluation of  women with clinical stage IIIA (T3, N1, M0) breast cancer.  For Evaluation of women with clinical stage IIIA (T3, N1, M0) breast cancer guidelines from NCCN. ",guidelines clinical-stage,https://www.medscape.com/answers/1947145-155340/what-are-the-nccn-guidelines-for-evaluation-of-women-with-clinical-stage-iiia-t3-n1-m0-breast-cancer
How is HER2 testing performed in the evaluation of breast cancer?,"Although several methods for HER2 testing have been developed, approximately 20% of current HER2 testing may be inaccurate; accordingly, the American Society of Clinical Oncology (ASCO) and CAP have recommended guidelines to ensure the accuracy of HER2 testing. Breast cancer specimens should initially undergo HER2 testing by a validated immunohistochemistry (IHC) assay (eg, HercepTest; Dako, Glostrup, Denmark) for HER2 protein expression. For more visit: (https://www.medscape.com/answers/1947145-155341/how-is-her2-testing-performed-in-the-evaluation-of-breast-cancer)",HER2 testing in the evaluation of breast cancer. Procedure to perfrom HER2 testing in the evaluation of breast cancer.,HER2 testing,https://www.medscape.com/answers/1947145-155341/how-is-her2-testing-performed-in-the-evaluation-of-breast-cancer
What is the role of molecular profiling assays in the workup of breast cancer?,"Molecular profiling assays
The Onco type Dx assay (Genomic Health, Inc, Redwood City, CA) has been approved by the US Food and Drug Administration (FDA) for women with early-stage ER-positive, node-negative breast cancer treated with tamoxifen, where the recurrence score (RS) correlated with both relapse-free interval and overall survival. This assay is an RT-PCR–based assay of 21 genes (16 cancer genes and 5 reference genes) performed on paraffin-embedded breast tumor tissue.

By using a formula based on the expression of these genes, an RS can be calculated that correlates with the likelihood of distant recurrence at 10 years. Breast tumor RSs and risk levels are as follows:

< 18, low risk
18-30, intermediate risk
>30, high risk    For more visit: https://emedicine.medscape.com/article/1947145-workup#c14",Role of molecular profiling assays in the workup of breast cancer. What part does molecular profiling assays play in workup of breast cancer.,molecular profiling assay,https://www.medscape.com/answers/1947145-155342/what-is-the-role-of-molecular-profiling-assays-in-the-workup-of-breast-cancer
What is the MammaPrint assay for breast cancer?,"The MammaPrint assay (Agendia, The Netherlands) is a genetic test that measures the activity of 70 genes to determine the 5- to 10-year relapse risk for women diagnosed with early breast cancer. It was approved for use by the FDA in 2007 and is an alternative platform to Oncotype DX. MammaPrint test results are reported as either a low-risk or a high-risk RS:

1) A low-risk score means that the cancer has a 10% risk of coming back within 10 years without any additional treatments after surgery

2) A high-risk score means that the cancer has a 29% risk of coming back within 10 years without any additional treatments after surgery", MammaPrint assay for breast cancer. MammaPrint test for breast cancer., MammaPrint assay,https://www.medscape.com/answers/1947145-155343/what-is-the-mammaprint-assay-for-breast-cancer
How is breast cancer treated?,"Surgery is considered primary treatment for early-stage breast cancer; many patients are cured with surgery alone.Adjuvant treatment of breast cancer is designed to treat micrometastatic disease (ie, breast cancer cells that have escaped the breast and regional lymph nodes but which have not yet had an established identifiable metastasis)",How does breast cancer treatment go. Treatment for Breast cancer.,breast cancer treatment ,https://www.medscape.com/answers/1947145-155344/how-is-breast-cancer-treated
How is invasive breast cancer treated?,"There are many treatments for invasive breast cancer. They include:

1) Surgery. A lumpectomy is a surgical procedure in which a surgeon removes the cancer and a small area of healthy tissue around it. A mastectomy may be performed after chemotherapy. This procedure removes all of your breast.

2) Chemotherapy. This drug treatment may be done before surgery to shrink the tumor and make the cancer operable. It’s also sometimes given after surgery to try to prevent the cancer from coming back.

3) Radiation. Often, radiation treatments are given after chemotherapy and surgery to prevent the cancer from coming back.

4) Hormone therapy. Certain medications may be given if the cancer cells have hormone receptors.

5) Targeted therapy. If the cancer cells have the gene HER2, you may be given drug treatments specifically for that.


To know more about invasive breast cancer visit: https://www.webmd.com/breast-cancer/invasive-breast-cancer ",How does in invasive breast cancer treatment go. Treatment for invasive Breast cancer.,invasive Breast cancer treatment ,https://www.webmd.com/breast-cancer/invasive-breast-cancer
What are the guidelines for breast-conserving surgery with whole-breast irradiation (WBI) in stages I and II invasive breast cancer?,"The following are guidelines, released by the Society of Surgical Oncology and the American Society for Radiation Oncology:

1) Positive margins are associated with at least a 2-fold increase in ipsilateral breast tumor recurrence (IBTR)

2) Negative margins optimize IBTR; this risk is not significantly lowered by wider margin widths

3) IBTR rates are reduced with the use of systemic therapy; in patients who do not receive adjuvant systemic therapy, margins wider than no ink on tumor are not needed

4) Biologic subtypes do not indicate the need for margins wider than no ink on tumor

5) Margin width should not determine the choice of WBI delivery technique, fractionation, and boost dose.

6) Wider negative margins than no ink on tumor are not indicated for patients with invasive lobular cancer; classic lobular carcinoma in situ (LCIS) at the margin is not an indication for reexcision; the significance of pleomorphic LCIS at the margin is not clear

7)  Young age is associated with an increased risk for IBTR after breast-conserving therapy, an increased risk for local relapse on the chest wall after mastectomy, and adverse biologic and pathologic features; an increased margin width does not nullify the increased risk for IBTR in young patients

8) An extensive intraductal component (EIC) identifies patients who may have a large residual ductal carcinoma in situ (DCIS) burden after lumpectomy; when margins are negative, there is no evidence of an association between an increased risk for IBTR and EIC",Guidelines for breast-conserving surgery with whole-breast irradiation (WBI) in stages I and II invasive breast cancer. Breast-conserving surgery with whole-breast irradiation (WBI) in stages I and II invasive breast cancer guidelines.,surgery WBI guidelines,https://www.medscape.com/answers/1947145-155346/what-are-the-guidelines-for-breast-conserving-surgery-with-whole-breast-irradiation-wbi-in-stages-i-and-ii-invasive-breast-cancer
What is the role of post lumpectomy radiation therapy in the treatment of breast cancer?,"> The purpose of radiation therapy after breast-conserving surgery is to eradicate local subclinical residual disease while reducing local recurrence rates by approximately 75%. On the basis of results from several randomized controlled studies, irradiation of the intact breast is considered standard of care, even in the lowest-risk disease with the most favorable prognostic features.

> There are 2 general approaches used to deliver radiation therapy: conventional external-beam radiotherapy (EBRT) and partial-breast irradiation (PBI). Whole-breast radiotherapy (WBRT) consists of EBRT delivered to the breast at a dose of 50-55 Gy over 5-6 weeks. This is often followed by a boost dose specifically directed to the area in the breast where the tumor was removed.", role of post lumpectomy radiation therapy in the treatment of breast cancer. What part does post lumpectomy radiation therapy play in treatment of breast cancer.,post lumpectomy radiation,https://www.medscape.com/answers/1947145-155347/what-is-the-role-of-post-lumpectomy-radiation-therapy-in-the-treatment-of-breast-cancer
